Date,,Amount,Account,Category,Date,Stream,Amount,Account,,,,Income,Expenses ,Balance,,Totals,,,,,Budget,,,,Actual
,Five Bellow ,$29.09,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Conrads,$12.50,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Meijer,$9.28,CHASE,GROCERIES,,,,,,,,,,,,,,,,,,,,,
,Top Shop ,$19.69,CHASE,GROCERIES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2025,Psy of money ,$11.65,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Speedway,$2.59,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Daves Hot chicken,$14.09,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Sree Saffron,$17.76,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/2025,Los Res Mex Grill,$9.53,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Speedway,$21.03,CHASE,GAS,,,,,,,,,,,,,,,,,,,,,
,Meijer,$5.75,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Speedway,$2.59,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Marathon,$2.96,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Chipotle,$12.46,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Capital One,$67.00,CHASE,SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,,
,,,CHASE,,,,,,,,,,,,,,,,,,,,,,
2/18/2025,meijer ,$23.99,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Hungry Howies,$7.41,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Jimmy Johns,$8.25,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Rasing Canes,$12.18,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Top Shop ,$15.89,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2025,Daves Hot Chicken,$14.09,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Aldi,$42.28,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2025,NMS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/21/2025,Bigby,$2.96,LMCU Debit,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/2025,ATM,$20.00,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Speedway ,$18.59,CHASE,GAS,,,,,,,,,,,,,,,,,,,,,
,ATM ,$20.00,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Car Wash,$10.00,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Mach Bday pizza,$79.45,CHASE,MISC(FAMILY),,,,,,,,,,,,,,,,,,,,,
,Marthas,$20.00,CHASE,MISC(FAMILY),,,,,,,,,,,,,,,,,,,,,
,Car Wash,$10.00,CHASE,MISC(FAMILY),,,,,,,,,,,,,,,,,,,,,
,44th Gas ,$22.42,CHASE,GAS,,,,,,,,,,,,,,,,,,,,,
,Daves Hot Chicken,$14.09,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Jonnas ,$6.88,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Los Tres Mex ,$9.53,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Meijer,$10.75,CHASE,GROCERIES,,,,,,,,,,,,,,,,,,,,,
,Jonnas ,$14.97,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Mcdonalds,$10.50,LMCU Debit,WASTE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2025,Speedway,$15.00,CHASE,GAS,,,,,,,,,,,,,,,,,,,,,
,Meijer ,$8.23,CHASE,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Los Tres mex ,$10.59,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Chipotle,$11.50,CHASE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/2025,Bigby,2.96,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/2025,MSU PARKING,$420.00,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,Gas,$20.00,CHASE,GAS,,,,,,,,,,,,,,,,,,,,,
,Los tres,$10.59,CHASE,WASTE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/2025,Mcdonalds,$2.12,LMCU Debit,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Bigby,$0.96,LMCU Debit,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Cash app berry,$10.00,LMCU Debit,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Speedway,$4.02,LMCU Debit,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,MSU PARKING,$2.40,LMCU Debit,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Bigby,$2.96,LMCU Debit,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Top Shop (Daniela Friend),$12.71,LMCU Debit,WASTE,,,,,,,,,,,,,,,,,,,,,
,Five Below,$10.60,LMCU Debit,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Speedway,$15.00,LMCU Debit,GAS,,,,,,,,,,,,,,,,,,,,,
,CVS Pharmacy,$11.08,LMCU Debit,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Bigby,$2.96,LMCU Debit,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Qdoba,$10.59,LMCU Debit,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,Jimmy Johns,$6.03,LMCU Debit,SELF INVESTMENT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Final Sepnd ,"$2,126.31",,,,,,,,,,,,,,,,,,,,,,,,
